exp,phi_0,dV_ges,eps_0,V_dis_total,status
10mmol_21C,0.000338769,750.0573319,0.499894576,0.012705451348735214,success
10mmol_21C,0.000505238,1001.364701,0.300283637,0.009976706469571479,success
10mmol_21C,0.000377858,999.6735997,0.30006925,0.010708470519704262,success
10mmol_21C,0.00028555,999.0802686,0.300038366,0.01133211051768515,success
10mmol_21C,0.000470111,1010.098899,0.401582726,0.013840489051387173,success
10mmol_21C,0.000427133,993.203178,0.39933699,0.013777833469041281,success
10mmol_21C,0.000338237,1001.661291,0.400053154,0.014674483084192672,success
10mmol_21C,0.000570634,1013.328994,0.50041046,0.01647089529929803,success
10mmol_21C,0.000526237,1000.336847,0.499900659,0.016537750392602597,success
10mmol_21C,0.000387667,1002.195121,0.500119766,0.017804584595604918,success
10mmol_21C,0.000484648,1249.761606,0.300061239,0.01374979393547231,success
10mmol_21C,0.000409823,1249.892455,0.300000441,0.014281628874092792,success
10mmol_21C,0.000312946,1250.318768,0.300031661,0.015055550462123478,success
10mmol_21C,0.000521445,1249.007805,0.400376844,0.017735934084807867,success
10mmol_21C,0.000469479,1250.197338,0.399947935,0.018180906561767327,success
10mmol_21C,0.000342463,1198.505578,0.393146823,0.01810365507354587,success
10mmol_21C,0.000578276,1252.670832,0.499955561,0.021403681911152328,success
10mmol_21C,0.000543618,1286.2615,0.501457357,0.02250167273470984,success
10mmol_21C,0.000311156,573.8697524,0.636105186,0.011929925305676076,success
10mmol_30C,0.000484589,750.2953382,0.299969729,0.006985081470043941,success
10mmol_30C,0.000484723,750.4714709,0.30086996,0.007009880195258061,success
10mmol_30C,0.000424486,747.039551,0.300277107,0.007233659739900063,success
10mmol_30C,0.000321245,756.784656,0.30165437,0.007965108798989196,success
10mmol_30C,0.000253766,755.4236992,0.300444696,0.008316539182567157,success
10mmol_30C,0.000218042,753.9525958,0.299255712,0.008483632105818073,success
10mmol_30C,0.000204692,762.5832536,0.300260935,0.008745390134081711,success
10mmol_30C,0.000525507,768.5286697,0.404567349,0.00986982048508706,success
10mmol_30C,0.000536213,751.5175953,0.400808572,0.009410547167469314,success
10mmol_30C,0.000473427,752.3400856,0.399434062,0.00974661219427929,success
10mmol_30C,0.000360226,755.7630907,0.399019986,0.010509925734979903,success
10mmol_30C,0.000265749,753.5882322,0.401281357,0.011222305440024796,success
10mmol_30C,0.000240091,749.5468121,0.398708968,0.011271572324017728,success
10mmol_30C,0.00022167,751.4893686,0.400032531,0.011501758257528178,success
10mmol_30C,0.000654894,758.7907519,0.501027341,0.01141130977585586,success
10mmol_30C,0.000677966,752.8593337,0.499499435,0.011119850330522532,success
10mmol_30C,0.000549679,750.0255688,0.50015755,0.011857913173209163,success
10mmol_30C,0.00039895,747.2833243,0.499349181,0.01284038067000368,success
10mmol_30C,0.000354428,708.8722382,0.502864522,0.012427080684914419,success
10mmol_30C,0.000331881,729.4501456,0.499580024,0.01298026737650777,success
10mmol_30C,0.000317511,728.9659997,0.503188489,0.013193144199599136,success
10mmol_30C,0.000518681,996.2166018,0.299190424,0.010320634669261645,success
10mmol_30C,0.000490018,1000.756083,0.30003545,0.010593916910900626,success
10mmol_30C,0.000509374,998.6851727,0.299717834,0.010421631450565603,success
10mmol_30C,0.000365507,1000.201091,0.300003567,0.011360820188140545,success
10mmol_30C,0.000301246,994.3540998,0.298611699,0.011676250544703906,success
10mmol_30C,0.000280242,999.5811505,0.299857956,0.01196986804618455,success
10mmol_30C,0.00027145,999.8590684,0.299809586,0.01204381470510348,success
10mmol_30C,0.000497163,1014.236315,0.398204029,0.014290614697078204,success
10mmol_30C,0.000492466,979.4911583,0.398962161,0.01371441075568329,success
10mmol_30C,0.000539625,1003.978828,0.399330826,0.01383482024346554,success
10mmol_30C,0.00042029,1002.287891,0.401056011,0.014769800669571074,success
10mmol_30C,0.000330604,1007.384867,0.3996617,0.015585815021283204,success
10mmol_30C,0.000305845,991.9571202,0.401437606,0.015579940482960715,success
10mmol_30C,0.000291252,992.7799037,0.400709559,0.015702901710464623,success
10mmol_30C,0.000568047,988.6950896,0.500769062,0.016775200469183744,success
10mmol_30C,0.000581263,998.7623251,0.499775008,0.016846622403187364,success
10mmol_30C,0.000621641,1003.32875,0.499679392,0.016622154239077452,success
10mmol_30C,0.000482122,1008.333026,0.499367542,0.017880848851799153,success
10mmol_30C,0.000368323,969.4065074,0.50092016,0.018145463581144775,success
10mmol_30C,0.000327323,1000.691121,0.499920528,0.019245505475642223,success
10mmol_30C,0.000321962,1018.928136,0.49934297,0.019727624100609492,success
10mmol_30C,0.000483431,1250.59456,0.300039241,0.014415814319988025,success
10mmol_30C,0.000478726,1245.639717,0.299030627,0.014318615963379588,success
10mmol_30C,0.000444553,1249.862193,0.299800426,0.014680557723920427,success
10mmol_30C,0.000384424,1252.957473,0.300352656,0.015228577237244762,success
10mmol_30C,0.000322286,1247.514993,0.299820695,0.015656311522301895,success
10mmol_30C,0.000293661,1250.663173,0.300126577,0.01598120297983368,success
10mmol_30C,0.000272406,1242.85638,0.298834436,0.015962998010281584,success
10mmol_30C,0.000518226,1257.190092,0.401035764,0.018746151090586763,success
10mmol_30C,0.000504494,1246.72778,0.400045085,0.018647200745202003,success
10mmol_30C,0.000507009,1234.072828,0.398862641,0.018311580244069335,success
10mmol_30C,0.000429863,1231.823584,0.399659012,0.01902774396949461,success
10mmol_30C,0.000346723,1250.943404,0.399996182,0.0202702333946998,success
10mmol_30C,0.000313467,1271.393663,0.400560738,0.021072532056600018,success
10mmol_30C,0.000300089,1191.690371,0.396974003,0.019433938224845692,success
10mmol_30C,0.000565693,1251.6605,0.500149536,0.022440564070502475,success
10mmol_30C,0.000566363,1249.038305,0.500093794,0.022391780765572418,success
10mmol_30C,0.000557808,1261.536789,0.498519907,0.02269399033332023,success
10mmol_30C,0.000499153,1258.861661,0.499273639,0.023261040623108107,success
10mmol_30C,0.000411395,1267.514069,0.499206614,0.024443392505175056,success
10mmol_30C,0.000353161,1232.385343,0.499589855,0.024375415134230215,success
15mmol_20C,0.000472703,750.312489,0.300555176,0.006154872762064196,success
15mmol_20C,0.000468528,750.3170867,0.300324108,0.0061679602428410495,success
15mmol_20C,0.000416792,754.3769858,0.301244532,0.006466110868205168,success
15mmol_20C,0.000323064,744.0948704,0.299047395,0.006724518226170074,success
15mmol_20C,0.000262936,747.9693325,0.3004731,0.007128018483558943,success
15mmol_20C,0.00022805,758.9243321,0.301668805,0.0075190658664773076,success
15mmol_20C,0.000209381,745.0419092,0.299485663,0.007371990471337477,success
15mmol_20C,0.000501799,749.4538597,0.399684985,0.008377644210231563,success
15mmol_20C,0.000511927,739.3311494,0.398111109,0.008131222330436491,success
15mmol_20C,0.00043558,743.0640306,0.401168329,0.00866248181098929,success
15mmol_20C,0.000357684,751.0799542,0.399810084,0.009210905561867959,success
15mmol_20C,0.000276524,745.8014683,0.399630964,0.009639992308535643,success
15mmol_20C,0.000258285,745.0187997,0.399906177,0.009759719867164878,success
15mmol_20C,0.000235519,743.4619476,0.398521043,0.009847115252351775,success
15mmol_20C,0.000648955,753.8642081,0.499620821,0.00998973454678134,success
15mmol_20C,0.000611831,750.71744,0.50033281,0.010142769177417304,success
15mmol_20C,0.000513772,749.4489112,0.500244513,0.010685954926040225,success
15mmol_20C,0.000438765,759.1621495,0.499259015,0.01132931027382341,success
15mmol_20C,0.0003439,748.5746057,0.500681914,0.011816392990356936,success
15mmol_20C,0.000310771,749.4008474,0.500353876,0.012077195435028942,success
15mmol_20C,0.000301463,751.3954723,0.499920139,0.012178251250059289,success
15mmol_20C,0.000478495,1001.046873,0.300045327,0.009465065294277934,success
15mmol_20C,0.00050276,999.4082097,0.299204276,0.009279258409324444,success
15mmol_20C,0.000517406,1011.391431,0.301494473,0.009437604340011067,success
15mmol_20C,0.000379519,993.0576951,0.299356027,0.009885351687750598,success
15mmol_20C,0.000324614,995.5759231,0.298850589,0.010246194721555378,success
15mmol_20C,0.000292262,1003.141817,0.300295432,0.010624012539114713,success
15mmol_20C,0.000278912,995.9386332,0.299512249,0.010583932358207487,success
15mmol_20C,0.000446906,1000.564352,0.401184136,0.012956549821506791,success
15mmol_20C,0.000450968,995.7202563,0.400141669,0.012809705057635283,success
15mmol_20C,0.000499166,1002.972509,0.400726699,0.01263036101720817,success
15mmol_20C,0.000436892,1003.970136,0.399749759,0.013026774411854016,success
15mmol_20C,0.000361576,1000.697795,0.400765488,0.01357781602983642,success
15mmol_20C,0.000340119,1003.90345,0.400096696,0.013793325066672146,success
15mmol_20C,0.000323025,1002.279227,0.400448638,0.013913804525115363,success
15mmol_20C,0.000562557,1010.292857,0.499865563,0.01544125663787911,success
15mmol_20C,0.00057887,1014.605545,0.499584385,0.015394491723166072,success
15mmol_20C,0.000637832,994.493673,0.498014119,0.014538680559637099,success
15mmol_20C,0.000526295,1004.803104,0.500037801,0.015603112498796326,success
15mmol_20C,0.000458533,996.6704994,0.499705173,0.015979242849144128,success
15mmol_20C,0.000409391,1000.777251,0.499647649,0.01648418704117889,success
15mmol_20C,0.000414262,1006.62312,0.500790215,0.016574944430661192,success
